Date;Open;High;Low;Close;Volume;Adj;Close
2009-12-08;28.3;28.9;28.2;28.4;27700;24.21;
2009-12-07;28.5;29.45;28.2;28.45;42200;24.26;
2009-12-04;29.55;29.7;28.35;28.7;50900;24.47;
2009-12-03;29.5;30.15;28.9;28.95;63100;24.68;
2009-12-02;31;31;29;29.25;79300;24.94;
2009-12-01;29.8;31.25;29.15;30.35;252500;25.88;
2009-11-30;28.8;29.7;28.5;29.05;135600;24.77;
2009-11-27;28;29.2;27;27.85;195300;23.74;
2009-11-26;28.9;30;28;28.35;127000;24.17;
2009-11-25;28.7;29.15;28.2;28.85;100800;24.6;
2009-11-24;26.95;28.1;26.3;27.95;173500;23.83;
2009-11-23;25.7;26.5;25.65;26.25;44200;22.38;
2009-11-20;26.1;26.7;25.5;25.9;12500;22.08;
2009-11-19;26.7;27.9;26.3;26.45;55500;22.55;
2009-11-18;27.05;27.35;26.15;26.45;19900;22.55;
2009-11-17;26.65;27;26.45;27;35500;23.02;
2009-11-16;26.2;27.15;25.85;26.9;39900;22.93;
2009-11-13;25.8;26.5;25.6;25.7;25600;21.91;
2009-11-12;25.95;26;25.6;25.75;15400;21.95;
2009-11-11;25.5;26.2;24.8;25.7;118400;21.91;
2009-11-10;25.05;25.6;25;25.35;26400;21.61;
2009-11-09;25.25;25.45;24.6;24.8;30100;21.14;
2009-11-06;24.6;24.8;24.15;24.5;21300;20.89;
2009-11-05;24;24.35;23.5;23.8;29300;20.29;
2009-11-04;23.5;24.5;22.6;23.55;65000;20.08;
2009-11-03;24.6;25;22.7;23.3;19500;19.87;
2009-10-30;25.85;26;24.3;24.7;34900;21.06;
2009-10-29;25;25.5;24.75;25;15800;21.31;
2009-10-28;25.1;25.8;24.6;25.1;35500;21.4;
2009-10-27;26.6;27;25.4;25.85;41200;22.04;
2009-10-26;27.45;27.5;26.7;26.85;16000;22.89;
2009-10-23;28;28.3;26.65;26.95;38500;22.98;
2009-10-22;29;29.5;26.7;28.15;151900;24;
2009-10-21;29.3;29.35;28.25;28.45;59400;24.26;
2009-10-20;28.25;29.6;28.25;28.75;132900;24.51;
2009-10-16;27.95;28.5;27.5;27.95;76500;23.83;
2009-10-15;26.65;27.85;26.5;27.4;34600;23.36;
2009-10-14;27;27.8;26.7;27.1;35900;23.1;
2009-10-12;28.5;28.5;27;27;51600;23.02;
