Date;Open;High;Low;Close;Volume;Adj;Close
2008-05-23;53.47;53.53;49.44;49.74;16700;29.26;
2008-05-22;52.94;56.24;52.06;52.24;57500;30.73;
2008-05-21;49.71;56.76;49.71;54.06;145900;31.8;
2008-05-20;51.65;51.65;48.88;49.82;5300;29.31;
2008-05-19;50.32;50.32;50.32;50.32;0;29.6;
2008-05-16;48.44;51.62;47.41;50.32;52200;29.6;
2008-05-15;46.91;48.41;46.47;47.18;2200;27.75;
2008-05-14;48.24;48.68;46.18;48.03;3500;28.25;
2008-05-13;49.21;49.29;47.44;47.44;3200;27.91;
2008-05-12;46.47;47.41;45.88;45.88;2100;26.99;
2008-05-09;49.82;50.76;46.03;46.59;25100;27.4;
2008-05-08;48.24;50;47.47;47.74;3300;28.08;
2008-05-07;48.53;51.18;48.47;48.68;6700;28.63;
2008-05-06;47.68;51.12;47.44;48.47;19500;28.51;
2008-05-05;48.82;50;48.06;48.06;6700;28.27;
2008-05-02;48.82;50;47.76;48.24;4400;28.37;
2008-05-01;48.59;48.59;48.59;48.59;0;28.58;
2008-04-30;48.35;50.32;47.94;48.59;8800;28.58;
2008-04-29;47.65;50;47.65;47.82;6400;28.13;
2008-04-28;49.12;49.71;48.24;48.24;10400;28.37;
2008-04-25;48.03;48.5;47.65;47.94;2400;28.2;
2008-04-24;49.29;50.35;47.65;48.21;15400;28.36;
2008-04-23;49.12;51.06;47.06;48.24;61200;28.37;
2008-04-22;44.41;49.41;44.41;48.71;15700;28.65;
2008-04-21;46.47;49.12;44.59;45.5;31700;26.76;
2008-04-18;46.91;46.91;46.91;46.91;0;27.6;
2008-04-17;43.76;46.91;43.38;46.91;32000;27.6;
2008-04-16;44.71;45.47;42.09;42.65;18300;25.09;
2008-04-15;42.82;43.88;42.41;42.41;1500;24.95;
2008-04-14;43.29;43.29;43.29;43.29;0;25.47;
2008-04-11;46.44;46.44;42.06;43.29;1500;25.47;
2008-04-10;45.24;45.29;43.41;43.59;2300;25.64;
2008-04-09;43.53;46.35;43.09;44.35;34400;26.09;
2008-04-08;42.59;43.88;41.18;42.85;16500;25.21;
2008-04-07;40;40.74;39.21;40.47;2300;23.81;
2008-04-04;39.71;40.56;38.24;39.85;18700;23.44;
2008-04-03;39.71;40.56;39.41;39.47;1700;23.22;
2008-04-02;40;41.85;38.82;39.32;14600;23.13;
2008-04-01;38.12;39.65;38.12;39.59;300;23.29;
2008-03-31;40.06;41.12;37.65;37.76;10600;22.21;
2008-03-28;40.41;41.35;38.59;41.35;3200;24.33;
2008-03-27;40;40;37.06;37.65;12800;22.15;
2008-03-26;36.5;39.06;36.5;37.12;3500;21.83;
2008-03-25;37.06;38;36.29;36.65;51000;21.56;
2008-03-24;40.88;41;34.18;35.12;12900;20.66;
2008-03-21;37.5;37.5;37.5;37.5;0;22.06;
2008-03-20;37.5;37.5;37.5;37.5;0;22.06;
2008-03-19;43.53;43.53;37.38;37.5;10300;22.06;
2008-03-18;39;45.18;39;41.18;7100;24.22;
2008-03-17;42.35;43.47;40.41;41.21;7200;24.24;
2008-03-14;41.26;44.12;41.18;44.12;37400;25.95;
2008-03-13;40.21;45.29;40.21;43.44;4600;25.55;
2008-03-12;45.88;46.03;42.94;42.94;1400;25.26;
2008-03-11;46.44;47.53;44.88;46.35;3600;27.27;
2008-03-10;39.44;44.12;38.53;44.12;4900;25.95;
2008-03-07;45.76;45.76;42.62;42.62;4200;25.07;
2008-03-06;44.94;44.94;44.94;44.94;0;26.44;
2008-03-05;44.12;44.94;41.59;44.94;36200;26.44;
2008-03-04;42.56;45.21;42.35;42.82;900;25.19;
2008-03-03;43;45.29;43;45.18;1600;26.57;
2008-02-29;47.35;47.65;44.68;44.74;7000;26.31;
2008-02-28;47.56;47.88;46.15;46.24;2000;27.2;
2008-02-27;46.56;46.56;45.29;46.56;11900;27.39;
2008-02-26;43.47;44.35;42.44;44.35;10500;26.09;
2008-02-25;41.97;44.06;41.94;42.21;1900;24.83;
2008-02-22;44.09;44.09;44.09;44.09;100;25.93;
2008-02-21;42.65;44.15;42.65;44.09;2400;25.93;
2008-02-20;43.35;44.12;43.29;44.12;800;25.95;
2008-02-19;44.29;47.5;44.12;44.12;3900;25.95;
2008-02-18;44.12;45.29;43.71;45.29;2300;26.64;
2008-02-15;43.5;43.85;41.56;43.85;4800;25.8;
2008-02-14;40.59;42.35;40.59;41.76;3600;24.57;
2008-02-13;41.18;42.15;39.76;40.06;1300;23.56;
2008-02-12;43.12;43.12;40.59;41.18;3000;24.22;
2008-02-11;41.18;43.44;40.88;42.71;4500;25.12;
2008-02-08;42.65;43.82;42.47;42.74;1800;25.14;
2008-02-07;43.88;45.88;43.88;43.88;5200;25.81;
2008-02-06;45.29;46.82;44.47;46.26;2300;27.21;
2008-02-05;47.15;47.15;45.32;47.06;500;27.68;
2008-02-04;43.12;46.82;43.12;46.44;1200;27.32;
2008-02-01;41.76;45.71;41.76;44.15;7400;25.97;
2008-01-31;43.06;44.24;43.06;43.53;2300;25.61;
2008-01-30;45.85;46.88;44.18;45.29;4900;26.64;
2008-01-29;44.12;46.29;43.53;45.76;4300;26.92;
2008-01-28;43;47.29;43;44.71;1200;26.3;
2008-01-25;42.47;46.79;42.47;45.29;5800;26.64;
2008-01-24;47.12;47.12;44.59;44.59;3300;26.23;
2008-01-23;49.26;49.26;46.82;49.21;5800;28.94;
2008-01-22;49.26;49.26;49.26;49.26;700;28.98;
2008-01-21;51.88;55.82;51.85;51.85;2200;30.5;
2008-01-18;55.32;58.21;53.88;53.88;5700;31.7;
2008-01-17;54.71;58.12;54.15;55.91;6300;32.89;
2008-01-16;55.24;55.44;53.29;55.44;5600;32.61;
2008-01-15;56.76;58.82;56;56.09;3600;32.99;
2008-01-14;55.76;57.59;54.71;57.24;8400;33.67;
2008-01-11;55.59;58.12;54.18;54.85;3500;32.27;
2008-01-10;60.56;62.35;55.94;56.41;19700;33.18;
2008-01-09;57.38;61.59;55.88;58.82;17600;34.6;
2008-01-08;66;67.03;57.76;59.71;24700;35.12;
2008-01-07;68.12;69.06;64.21;67.03;13700;39.43;
2008-01-04;70;70.65;66.26;66.71;21000;39.24;
2008-01-03;66.47;72.76;66.47;69.47;90900;40.87;
2008-01-02;69.65;71.12;66.47;68.32;71300;40.19;
2008-01-01;72.35;72.35;66.32;67.59;89900;39.76;
2007-12-31;68.79;71.76;68.24;68.82;41100;40.48;
2007-12-28;63.41;69.44;63.41;69.06;100600;40.62;
2007-12-27;60.59;65.88;58.41;63.68;163800;37.46;
2007-12-26;52.94;61.18;52.94;59.38;152400;34.93;
2007-12-25;53.03;53.03;53.03;53.03;0;31.19;
2007-12-24;52.35;55.88;52.35;53.03;13000;31.19;
2007-12-21;51.71;51.71;51.71;51.71;0;30.42;
2007-12-20;53.53;53.53;50.65;51.71;3700;30.42;
2007-12-19;53.18;55.53;52.65;53.62;15300;31.54;
2007-12-18;52.94;53.53;51.62;52.76;10200;31.04;
2007-12-17;54.71;59.85;52.47;53.21;126600;31.3;
2007-12-14;53.82;56.47;53.74;54.62;25600;32.13;
2007-12-13;58.18;58.18;52.94;53.76;55900;31.63;
2007-12-12;50.71;56.88;50.71;55.18;65200;32.46;
2007-12-11;51.09;53.88;49.41;51.65;82600;30.38;
2007-12-10;48.85;51.06;48.53;50.03;12000;29.43;
2007-12-07;48.53;52.65;48.24;48.91;22700;28.77;
2007-12-06;48.24;52.88;47.38;50.41;47600;29.65;
2007-12-05;47.44;48.18;46.41;47.47;20700;27.92;
2007-12-04;45.88;47.94;45.88;47.06;13900;27.68;
2007-12-03;47.15;47.15;45.94;47.06;5700;27.68;
2007-11-30;45.29;47.06;44.71;45.15;3900;26.56;
2007-11-29;47.06;47.06;45.29;45.29;2000;26.64;
2007-11-28;48.79;48.79;45.91;45.91;5100;27.01;
2007-11-27;45.88;49.29;45.88;47.76;6100;28.1;
2007-11-26;48.35;48.35;45.91;45.91;6400;27.01;
2007-11-23;45.82;48.18;45.59;46.47;8500;27.34;
2007-11-22;44.12;46.24;43.53;44.32;7400;26.07;
2007-11-21;48.24;49.29;45.44;45.44;7100;26.73;
2007-11-20;49.15;50;47.94;48.41;11300;28.48;
2007-11-19;53.82;54.65;49.5;50;65400;29.41;
2007-11-16;44.71;52.35;44.71;50.85;158900;29.91;
2007-11-15;45.12;45.68;44.12;45.09;12700;26.52;
2007-11-14;44.12;44.38;43.53;44.12;5600;25.95;
2007-11-13;42.94;44.44;42.94;44.06;6100;25.92;
2007-11-12;41.59;43.35;41.18;43.21;3700;25.42;
2007-11-09;41.59;42.76;41.41;41.76;800;24.57;
2007-11-08;41.85;42.15;41.74;41.82;2000;24.6;
2007-11-07;42.65;45.82;40;43.09;48900;25.35;
2007-11-06;44.79;45.62;43.44;43.68;17300;25.69;
2007-11-05;43.53;47.29;43.53;45.47;37200;26.75;
2007-11-02;41.18;44.12;40.12;43.53;37500;25.61;
2007-11-01;43.94;43.94;41.12;41.26;4400;24.27;
2007-10-31;40.91;44.35;40.91;41.85;47600;24.62;
2007-10-30;40.29;41.09;39.71;40.59;7600;23.88;
2007-10-29;41.65;41.74;40;40.24;11300;23.67;
2007-10-26;41.06;42.06;40.65;41.47;7100;24.39;
2007-10-25;40.29;40.76;39.71;39.97;3700;23.51;
2007-10-24;40.03;41.53;40;40.59;5200;23.88;
2007-10-23;40.24;40.65;40.24;40.29;2700;23.7;
2007-10-22;39.85;40.59;39.82;39.82;1500;23.43;
2007-10-19;40;41.18;40;40.59;2500;23.88;
2007-10-18;41.12;42.12;40.59;40.59;4400;23.88;
2007-10-17;40.12;41.76;40.12;41.18;2000;24.22;
2007-10-16;41.5;42.32;41.29;41.41;5100;24.36;
2007-10-15;42.94;43.29;41.18;42.35;25600;24.91;
2007-10-12;41.79;42.03;41.62;41.79;2300;24.58;
2007-10-11;42.53;43.53;41.82;42.76;14900;25.16;
2007-10-10;41.26;44.35;41.18;42.35;36300;24.91;
2007-10-09;44.09;44.09;40.76;41.53;3000;24.43;
2007-10-08;42.65;43.47;41.18;41.65;8100;24.5;
2007-10-05;42.97;43.24;42.94;43;1000;25.29;
2007-10-04;44.59;44.59;42.65;43.32;4000;25.48;
2007-10-03;49.29;49.29;43.53;43.76;4000;25.74;
2007-10-02;44.71;44.71;44.71;44.71;0;26.3;
2007-10-01;47.06;47.06;42;44.71;14400;26.3;
2007-09-28;43;43.26;41.91;43.09;6600;25.35;
2007-09-27;41.68;45.15;41.68;42.88;9000;25.22;
2007-09-26;38.38;44.59;38.38;43.53;37500;25.61;
2007-09-25;45.03;45.62;43.38;44.18;6900;25.99;
2007-09-24;44.65;45.82;44.65;45.12;13000;26.54;
2007-09-21;44.41;45.47;43.41;44.21;45700;26;
2007-09-20;43.91;44.94;43.44;43.65;13700;25.67;
2007-09-19;44.06;45.15;42.71;43.35;18300;25.5;
2007-09-18;43.76;43.76;42.21;43.47;2000;25.57;
2007-09-17;43.82;43.82;42.12;42.44;18100;24.97;
2007-09-14;44.12;45.29;43.53;43.53;8100;25.61;
2007-09-13;44.12;44.12;43.56;44.12;3400;25.95;
2007-09-12;44.71;45.56;44;44;4700;25.88;
2007-09-11;44.12;45.03;43.56;43.82;4500;25.78;
2007-09-10;45.59;46.35;44.82;45.44;7900;26.73;
2007-09-07;43.82;47.94;43.68;45.29;75800;26.64;
2007-09-06;42.53;44.94;42.35;43.74;33600;25.73;
2007-09-05;40.59;43.12;40.59;42.44;17500;24.97;
2007-09-04;41.18;41.76;40;40.65;14100;23.91;
2007-09-03;37.12;44.06;37.12;41.68;63400;24.52;
2007-08-31;40.59;41.09;36.76;38.74;16400;22.79;
2007-08-30;38.82;39.29;37.41;38.74;600;22.79;
2007-08-29;37.24;38.38;37.24;37.71;600;22.18;
2007-08-28;37.35;38.53;37.29;37.65;7600;22.15;
2007-08-27;38.74;38.74;37.06;37.06;500;21.8;
2007-08-24;35.5;37.88;35.5;36.71;19500;21.59;
2007-08-23;37.38;38.24;36.21;36.44;5600;21.44;
2007-08-22;37.68;37.85;36.65;37.85;600;22.27;
2007-08-21;37.88;38.24;37.65;37.79;7100;22.23;
2007-08-20;40.47;40.47;37.85;38.32;10300;22.54;
2007-08-17;38.82;39.12;37.47;37.47;8800;22.04;
2007-08-16;39.15;39.71;38.82;38.82;5200;22.84;
2007-08-15;39.94;39.94;39.94;39.94;0;23.49;
2007-08-14;40.85;41.41;39.71;40.15;9000;23.62;
2007-08-13;39.29;40.09;39.29;39.94;1500;23.49;
2007-08-10;38.82;39.68;38.82;39.68;4900;23.34;
2007-08-09;41.15;41.76;39.71;39.91;6800;23.48;
2007-08-08;39.91;42.35;39.91;40.65;25800;23.91;
2007-08-07;39.76;41.74;39.47;40.35;34600;23.74;
2007-08-06;39.41;40.53;38.97;40;6800;23.53;
2007-08-03;39.71;39.94;38.44;38.44;2500;22.61;
2007-08-02;39.71;40.47;39.24;39.85;6800;23.44;
2007-08-01;39.12;39.68;39;39;3400;22.94;
2007-07-31;38.24;40.41;38.24;40.35;1700;23.74;
2007-07-30;40.59;40.97;39.88;39.88;7300;23.46;
2007-07-27;39.12;41.18;39.12;40;5400;23.53;
2007-07-26;40.59;41;40;40;3000;23.53;
2007-07-25;40.29;40.97;40.03;40.03;300;23.55;
2007-07-24;41.29;42.21;40.79;41.12;1700;24.19;
2007-07-23;40.35;42.06;40.35;41.5;3900;24.41;
2007-07-20;42.88;42.94;41.21;41.53;5400;24.43;
2007-07-19;41.68;41.94;40.65;41.24;6100;24.26;
2007-07-18;42.35;42.94;39.65;39.94;86700;23.49;
2007-07-17;42.94;43.53;42.38;42.41;10500;24.95;
2007-07-16;42.35;42.71;42.03;42.12;13600;24.78;
2007-07-13;43.5;43.53;42.41;42.41;6100;24.95;
2007-07-12;43.53;43.82;43.03;43.24;3000;25.43;
2007-07-11;44.06;44.71;43.12;43.62;4900;25.66;
